Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,146.529999,146.990005,143.880005,144.929993,106.014351,204935600
2008-01-03,144.910004,145.490005,144.070007,144.860001,105.963219,125133300
2008-01-04,143.339996,143.440002,140.910004,141.309998,103.366402,232330900
2008-01-07,141.809998,142.229996,140.100006,141.190002,103.278679,234991000
2008-01-08,142.080002,142.899994,138.440002,138.910004,101.610863,326365700
2008-01-09,139.089996,140.789993,137.699997,140.369995,102.678802,301824900
2008-01-10,139.679993,142.800003,139.369995,141.289993,103.351784,335701200
2008-01-11,140.779999,141.899994,139.000000,140.149994,102.517876,267076600
2008-01-14,141.160004,141.860001,140.399994,141.279999,103.344452,170365500
2008-01-15,139.789993,141.490005,137.899994,138.169998,101.069527,239940100
2008-01-16,137.360001,139.119995,136.279999,136.979996,100.199081,378802600
2008-01-17,137.809998,137.880005,132.929993,133.429993,97.602295,397892600
2008-01-18,134.740005,135.020004,131.100006,132.059998,96.600128,348561500
2008-01-22,127.209999,132.429993,126.000000,130.720001,95.619949,435923700
2008-01-23,127.089996,134.190002,126.839996,133.860001,97.916817,511913000
2008-01-24,134.479996,135.460007,133.309998,134.990005,98.743431,259949300
2008-01-25,136.509995,136.759995,132.600006,133.039993,97.317024,269603900
2008-01-28,133.259995,135.520004,132.059998,135.240005,98.926300,217934600
2008-01-29,136.100006,136.449997,134.880005,135.910004,99.416367,168968300
2008-01-30,135.580002,138.539993,134.600006,134.910004,98.684883,334939200
2008-01-31,133.399994,138.539993,133.199997,137.369995,100.484337,343680800
2008-02-01,137.940002,139.610001,137.520004,139.580002,102.100922,206843600
2008-02-04,139.210007,139.300003,137.639999,137.820007,100.813530,124694300
2008-02-05,135.940002,136.250000,133.669998,134.130005,98.114334,286882500
2008-02-06,134.580002,135.250000,132.410004,133.050003,97.324348,250792900
2008-02-07,131.800003,134.789993,131.729996,133.929993,97.968025,297368100
2008-02-08,133.089996,134.220001,132.100006,133.070007,97.338966,221643500
2008-02-11,133.100006,134.229996,132.039993,133.750000,97.836388,188576300
2008-02-12,134.910004,136.309998,133.979996,134.990005,98.743431,256654400
2008-02-13,136.009995,137.059998,135.139999,136.369995,99.752861,181967800
2008-02-14,136.949997,137.000000,134.789993,135.169998,98.875053,215207200
2008-02-15,134.500000,135.220001,133.910004,135.139999,98.853096,154110300
2008-02-19,136.720001,136.889999,134.610001,135.520004,99.131126,145190000
2008-02-20,133.990005,136.550003,133.759995,135.919998,99.423676,220085700
2008-02-21,136.660004,137.009995,134.070007,134.789993,98.597107,201051200
2008-02-22,134.970001,135.850006,132.860001,135.619995,99.204216,205491000
2008-02-25,135.539993,137.649994,134.779999,137.330002,100.455093,190107000
2008-02-26,136.750000,138.949997,136.500000,138.360001,101.208519,212420700
2008-02-27,137.559998,139.139999,137.410004,138.220001,101.106117,168395800
